Mi vecina es panadera.;Ma voisine est boulangère.;[ma vwazin ɛ bulɑ̃ʒɛʁ]
Léa no es actriz.;Léa n'est pas actrice.;[lea nɛ pa aktʁis]
¿Tu hermana es enfermera?;Ta sœur est infirmière ?;[ta sœʁ ɛ ɛ̃fiʁmjɛʁ]
Esta estudiante es italiana.;Cette étudiante est italienne.;[sɛt etydjɑ̃t ɛ italjɛn]
Mi amiga no es vendedora.;Mon amie n'est pas vendeuse.;[mɔ̃n ami nɛ pa vɑ̃døz]
¿Esta cantante es canadiense?;Cette chanteuse est canadienne ?;[sɛt ʃɑ̃tøz ɛ kanadjɛn]
La directora llega mañana temprano.;La directrice arrive demain matin.;[la diʁɛktʁis aʁiv dəmɛ̃ matɛ̃]
Esta artista no es española.;Cette artiste n'est pas espagnole.;[sɛt aʁtist nɛ pa ɛspaɲɔl]
¿Quién es la nueva camarera?;C'est qui, la nouvelle serveuse ?;[sɛ ki la nuvɛl sɛʁvøz]
Su hija se hace deportista profesional.;Leur fille devient sportive professionnelle.;[lœʁ fij dəvjɛ̃ spɔʁtiv pʁɔfɛsjɔnɛl]
Mi prima es una excelente peluquera en nuestro barrio.;Ma cousine est une excellente coiffeuse dans notre quartier.;[ma kuzin ɛt yn ɛksɛlɑ̃t kwaføz dɑ̃ nɔtʁ kaʁtje]
Esta periodista no parece satisfecha con la entrevista.;Cette journaliste ne semble pas satisfaite de l'entretien.;[sɛt ʒuʁnalist nə sɑ̃bl pa satisfɛt də lɑ̃tʁətjɛ̃]
¿Vuestra nueva compañera es también una buena traductora?;Votre nouvelle collègue est aussi une bonne traductrice ?;[vɔtʁ nuvɛl kɔlɛɡ ɛt osi yn bɔn tʁadyktʁis]
La panadera prepara cada mañana unas tartas deliciosas.;La boulangère prépare chaque matin de délicieuses tartes.;[la bulɑ̃ʒɛʁ pʁepaʁ ʃak matɛ̃ də delisjøz taʁt]
La farmacéutica no trabaja durante las noches de verano.;La pharmacienne ne travaille pas pendant les nuits d'été.;[la faʁmasjɛn nə tʁavaj pa pɑ̃dɑ̃ le nɥi dete]
¿Esta investigadora es responsable del nuevo laboratorio científico?;Cette chercheuse est responsable du nouveau laboratoire scientifique ?;[sɛt ʃɛʁʃøz ɛ ʁɛspɔ̃sabl dy nuvo labɔʁatwaʁ sjɑ̃tifik]
Nuestra vecina se convirtió en una famosa escritora francesa.;Notre voisine est devenue une célèbre écrivaine française.;[nɔtʁ vwazin ɛ dəvəny yn sɛlɛbʁ ekʁivɛn fʁɑ̃sɛz]
Esta conductora no respetó la señal cerca de la escuela.;Cette conductrice n'a pas respecté le panneau près de l'école.;[sɛt kɔ̃dyktʁis na pa ʁɛspɛkte lə pano pʁɛ də lekɔl]
¿Por qué esta actriz parece tan cansada después del rodaje?;Pourquoi cette actrice semble si fatiguée après le tournage ?;[puʁkwa sɛt aktʁis sɑ̃bl si fatiɡe apʁɛ lə tuʁnaʒ]
La nueva arquitecta diseña una biblioteca moderna y luminosa.;La nouvelle architecte dessine une bibliothèque moderne et lumineuse.;[la nuvɛl aʁʃitɛkt dɛsin yn biblijɔtɛk mɔdɛʁn e lyminøz]
La candidata no está satisfecha con las condiciones propuestas por la empresa.;La candidate n'est pas satisfaite des conditions proposées par l'entreprise.;[la kɑ̃didat nɛ pa satisfɛt de kɔ̃disjɔ̃ pʁɔpoze paʁ lɑ̃tʁəpʁiz]
La jefa de cocina creó una receta regional completamente nueva.;La cheffe cuisinière a créé une recette régionale entièrement nouvelle.;[la ʃɛf kɥizinjɛʁ a kʁee yn ʁəsɛt ʁeʒjɔnal ɑ̃tjɛʁmɑ̃ nuvɛl]
¿Por qué vuestra directora está preocupada por la situación financiera actual?;Pourquoi votre directrice est inquiète de la situation financière actuelle ?;[puʁkwa vɔtʁ diʁɛktʁis ɛt ɛ̃kjɛt də la sitɥasjɔ̃ finɑ̃sjɛʁ aktɥɛl]
La científica francesa presentó sus últimos descubrimientos ante toda la comisión.;La scientifique française a présenté ses dernières découvertes devant toute la commission.;[la sjɑ̃tifik fʁɑ̃sɛz a pʁezɑ̃te se dɛʁnjɛʁ dekuvɛʁt dəvɑ̃ tut la kɔmisjɔ̃]
Esta deportista no está ni cansada ni decepcionada después de la final.;Cette sportive n'est ni fatiguée ni déçue après la finale.;[sɛt spɔʁtiv nɛ ni fatiɡe ni desy apʁɛ la final]
¿La nueva traductora estará disponible durante toda la conferencia internacional?;La nouvelle traductrice sera disponible pendant toute la conférence internationale ?;[la nuvɛl tʁadyktʁis səʁa dispɔnibl pɑ̃dɑ̃ tut la kɔ̃feʁɑ̃s ɛ̃tɛʁnasjɔnal]
La propietaria no se mostró disponible durante nuestra última visita.;La propriétaire ne s'est pas montrée disponible pendant notre dernière visite.;[la pʁɔpʁijetɛʁ nə sɛ pa mɔ̃tʁe dispɔnibl pɑ̃dɑ̃ nɔtʁ dɛʁnjɛʁ vizit]
Ninguna empleada fue informada de las nuevas medidas de seguridad.;Aucune employée n'a été informée des nouvelles mesures de sécurité.;[okyn ɑ̃plwaje na ete ɛ̃fɔʁme de nuvɛl məzyʁ də sekyʁite]
¿Vuestra vecina es tan generosa como su hermana mayor?;Votre voisine est aussi généreuse que sa sœur aînée ?;[vɔtʁ vwazin ɛt osi ʒeneʁøz kə sa sœʁ ene]
¿Qué escritora contemporánea fue elegida presidenta de esta asociación cultural?;Quelle écrivaine contemporaine a été élue présidente de cette association culturelle ?;[kɛl ekʁivɛn kɔ̃tɑ̃pɔʁɛn a ete ely pʁezidɑ̃t də sɛt asosjasjɔ̃ kyltyʁɛl]
