Ella canta muy bien;Elle chante très bien;[ɛl ʃɑ̃t tʁɛ bjɛ̃]
Nunca desayuno tan temprano;Je ne déjeune jamais si tôt;[ʒə nə deʒœn ʒamɛ si to]
¿Vienes aquí a menudo?;Tu viens souvent ici ?;[ty vjɛ̃ suvɑ̃ isi]
Trabajamos juntos actualmente cada día;Nous travaillons ensemble actuellement chaque jour;[nu tʁavajɔ̃ ɑ̃sɑ̃bl aktyɛlmɑ̃ ʃak ʒuʁ]
Él no conduce deprisa;Il ne conduit pas vite;[il nə kɔ̃dɥi pa vit]
¿Has comido suficiente hoy?;Tu as assez mangé aujourd'hui ?;[ty a ase mɑ̃ʒe oʒuʁdɥi]
Llegaron demasiado tarde ayer;Ils sont arrivés trop tard hier;[il sɔ̃t aʁive tʁo taʁ jɛʁ]
Ya no salimos mucho;Nous ne sortons plus beaucoup;[nu nə sɔʁtɔ̃ ply boku]
¿Hablas francés con fluidez?;Tu parles français couramment ?;[ty paʁl fʁɑ̃sɛ kuʁamɑ̃]
Mañana iremos allí juntos;Demain, nous irons là-bas ensemble;[dəmɛ̃ nuz iʁɔ̃ laba ɑ̃sɑ̃bl]
Mi hermana responde siempre muy amablemente;Ma sœur répond toujours très gentiment;[ma sœʁ ʁepɔ̃ tuʒuʁ tʁɛ ʒɑ̃timɑ̃]
El autobús no pasa frecuentemente por este barrio;Le bus ne passe pas souvent dans ce quartier;[lə bys nə pas pa suvɑ̃ dɑ̃ sə kaʁtje]
¿Habéis terminado ya completamente vuestro proyecto?;Vous avez déjà complètement terminé votre projet ?;[vuz ave deʒa kɔ̃plɛtmɑ̃ tɛʁmine vɔtʁə pʁɔʒɛ]
Normalmente compramos bastante fruta fresca en el mercado;Normalement, nous achetons assez de fruits frais au marché;[nɔʁmalmɑ̃ nuz aʃtɔ̃ ase də fʁɥi fʁɛ o maʁʃe]
Ellos no han entendido bien la explicación;Ils n'ont pas bien compris l'explication;[il nɔ̃ pa bjɛ̃ kɔ̃pʁi lɛksplikasjɔ̃]
¿Por qué hablas tan bajo durante las reuniones?;Pourquoi tu parles si bas pendant les réunions ?;[puʁkwa ty paʁl si ba pɑ̃dɑ̃ le ʁeynjɔ̃]
Últimamente voy menos al gimnasio por falta de tiempo;Dernièrement, je vais moins à la salle de sport faute de temps;[dɛʁnjɛʁmɑ̃ ʒə vɛ mwɛ̃ a la sal də spɔʁ fot də tɑ̃]
Mi compañero casi nunca llega tarde al trabajo;Mon collègue n'arrive presque jamais en retard au travail;[mɔ̃ kɔlɛɡ naʁiv pʁɛskə ʒamɛ ɑ̃ ʁətaʁ o tʁavaj]
¿Viajáis todavía regularmente por motivos profesionales?;Vous voyagez encore régulièrement pour des raisons professionnelles ?;[vu vwajaʒe ɑ̃kɔʁ ʁeɡyljɛʁmɑ̃ puʁ de ʁɛzɔ̃ pʁɔfɛsjɔnɛl]
La médica explicó claramente cómo tomar el medicamento;La médecin a clairement expliqué comment prendre le médicament;[la medsɛ̃ a klɛʁmɑ̃ ɛksplike kɔmɑ̃ pʁɑ̃dʁ lə medikamɑ̃]
Nadie reaccionó suficientemente rápido cuando comenzó aquella emergencia;Personne n'a réagi assez vite quand cette urgence a commencé;[pɛʁsɔn na ʁeaʒi ase vit kɑ̃ sɛt yʁʒɑ̃s a kɔmɑ̃se]
Probablemente recibiremos pronto una respuesta oficial bastante favorable;Nous recevrons probablement bientôt une réponse officielle assez favorable;[nu ʁəsəvʁɔ̃ pʁɔbabləmɑ̃ bjɛ̃to yn ʁepɔ̃s ɔfisjɛl ase favɔʁabl]
¿Has visto recientemente alguna película francesa especialmente interesante?;Tu as vu récemment un film français particulièrement intéressant ?;[ty a vy ʁesamɑ̃ ɛ̃ film fʁɑ̃sɛ paʁtikyljɛʁmɑ̃ ɛ̃teʁesɑ̃]
El nuevo sistema funciona sorprendentemente bien desde su instalación;Le nouveau système fonctionne étonnamment bien depuis son installation;[lə nuvo sistɛm fɔ̃ksjɔn etɔnamɑ̃ bjɛ̃ dəpɥi sɔ̃ ɛ̃stalasjɔ̃]
La directora no respondió inmediatamente porque estaba demasiado ocupada;La directrice n'a pas répondu immédiatement parce qu'elle était trop occupée;[la diʁɛktʁis na pa ʁepɔ̃dy imedjatmɑ̃ paʁs kɛl etɛ tʁo ɔkype]
¿Con qué frecuencia utilizáis realmente este programa informático?;À quelle fréquence vous utilisez réellement ce logiciel ?;[a kɛl fʁekɑ̃s vuz ytilize ʁeɛlmɑ̃ sə lɔʒisjɛl]
No hemos avanzado bastante rápidamente para cumplir nuestro plazo;Nous n'avons pas avancé assez rapidement pour respecter notre délai;[nu navɔ̃ pa avɑ̃se ase ʁapidmɑ̃ puʁ ʁɛspɛkte nɔtʁə delɛ]
Nadie visita ya regularmente aquella exposición demasiado alejada;Personne ne visite plus régulièrement cette exposition trop éloignée;[pɛʁsɔn nə vizit ply ʁeɡyljɛʁmɑ̃ sɛt ɛkspozisjɔ̃ tʁop elwaɲe]
¿Trabajarías más eficazmente si tu oficina fuera menos ruidosa?;Tu travaillerais plus efficacement si ton bureau était moins bruyant ?;[ty tʁavajəʁɛ plyz efikasmɑ̃ si tɔ̃ byʁo etɛ mwɛ̃ bʁɥijɑ̃]
¿Habéis comprobado cuidadosamente todos los datos antes de publicarlos?;Vous avez soigneusement vérifié toutes les données avant de les publier ?;[vuz ave swaɲøzmɑ̃ veʁifje tut le dɔne avɑ̃ də le pyblije]
