El hotel está abierto;L'hôtel est ouvert;[lotɛl ɛt uvɛʁ]
No escucho la diferencia;Je n'entends pas la différence;[ʒə nɑ̃tɑ̃ pa la difeʁɑ̃s]
¿Dices vino o veinte?;Tu dis vin ou vingt ?;[ty di vɛ̃ u vɛ̃]
Los amigos llegan juntos;Les amis arrivent ensemble;[lez ami zaʁiv ɑ̃sɑ̃bl]
La hache no lleva elisión;La hache ne prend pas d'élision;[la aʃ nə pʁɑ̃ pa delizjɔ̃]
¿Pronuncias la consonante final?;Tu prononces la consonne finale ?;[ty pʁɔnɔ̃s la kɔ̃sɔn final]
Mi hermana compra pan blanco;Ma sœur achète du pain blanc;[ma sœʁ aʃɛt dy pɛ̃ blɑ̃]
No hacemos enlace después de eso;Nous ne faisons pas de liaison après cela;[nu nə fəzɔ̃ pa də ljɛzɔ̃ apʁɛ səla]
¿Oyes la vocal nasal?;Tu entends la voyelle nasale ?;[ty ɑ̃tɑ̃ la vwajɛl nazal]
Es una palabra muy corta;C'est un mot très court;[sɛt ɛ̃ mo tʁɛ kuʁ]
El acento agudo cambia la pronunciación de la vocal;L'accent aigu change la prononciation de la voyelle;[laksɑ̃ eɡy ʃɑ̃ʒ la pʁɔnɔ̃sjasjɔ̃ də la vwajɛl]
No pronunciamos la letra final de beaucoup;Nous ne prononçons pas la lettre finale de « beaucoup »;[nu nə pʁɔnɔ̃sɔ̃ pa la lɛtʁ final də boku]
¿Haces el enlace en les enfants?;Tu fais la liaison dans « les enfants » ?;[ty fɛ la ljɛzɔ̃ dɑ̃ lez ɑ̃fɑ̃]
Esta cedilla conserva el sonido suave delante de a;Cette cédille conserve le son doux devant a;[sɛt sedij kɔ̃sɛʁv lə sɔ̃ du dəvɑ̃ a]
La palabra héros no permite elisión ni enlace;Le mot « héros » ne permet ni élision ni liaison;[lə mo eʁo nə pɛʁmɛ ni elizjɔ̃ ni ljɛzɔ̃]
¿Distingues las vocales de rue y roue?;Tu distingues les voyelles de « rue » et « roue » ?;[ty distɛ̃ɡ le vwajɛl də ʁy e ʁu]
La contracción du combina la preposición y el artículo;La contraction « du » réunit la préposition et l'article;[la kɔ̃tʁaksjɔ̃ dy ʁeyni la pʁepozisjɔ̃ e laʁtikl]
No escribimos de le delante de un nombre masculino;Nous n'écrivons pas « de le » devant un nom masculin;[nu nekʁivɔ̃ pa də lə dəvɑ̃ ɛ̃ nɔ̃ maskylɛ̃]
¿Sabes cuándo se escribe el apóstrofo francés?;Tu sais quand on écrit l'apostrophe française ?;[ty sɛ kɑ̃ ɔ̃n ekʁi lapɔstʁɔf fʁɑ̃sɛz]
El sonido de chat empieza con una consonante fricativa;Le son de « chat » commence par une consonne fricative;[lə sɔ̃ də ʃa kɔmɑ̃s paʁ yn kɔ̃sɔn fʁikativ]
Nadie debe confundir el acento escrito con el acento tónico;Personne ne doit confondre l'accent écrit avec l'accent tonique;[pɛʁsɔn nə dwa kɔ̃fɔ̃dʁ laksɑ̃ ekʁi avɛk laksɑ̃ tɔnik]
La expresión petits amis contiene un enlace entre ambas palabras;L'expression « petits amis » contient une liaison entre les deux mots;[lɛkspʁesjɔ̃ pətiz ami kɔ̃tjɛ̃ yn ljɛzɔ̃ ɑ̃tʁ le dø mo]
¿Por qué cambia la pronunciación de plus según el contexto?;Pourquoi la prononciation de « plus » change selon le contexte ?;[puʁkwa la pʁɔnɔ̃sjasjɔ̃ də ply ʃɑ̃ʒ səlɔ̃ lə kɔ̃tɛkst]
La elisión evita dos vocales consecutivas delante de una palabra;L'élision évite deux voyelles consécutives devant un mot;[lelizjɔ̃ evit dø vwajɛl kɔ̃sekytiv dəvɑ̃ ɛ̃ mo]
No se pronuncia igual dessus que dessous en francés;« Dessus » ne se prononce pas comme « dessous » en français;[dəsy nə sə pʁɔnɔ̃s pa kɔm dəsu ɑ̃ fʁɑ̃sɛ]
¿Puedes distinguir oralmente jeune de jaune sin leerlos?;Tu peux distinguer oralement « jeune » de « jaune » sans les lire ?;[ty pø distɛ̃ɡe ɔʁalmɑ̃ ʒœn də ʒon sɑ̃ le liʁ]
No escribimos à sin acento cuando significa hacia o en;Nous n'écrivons pas « à » sans accent quand il indique une direction ou un lieu;[nu nekʁivɔ̃ pa a sɑ̃z aksɑ̃ kɑ̃t il ɛ̃dik yn diʁɛksjɔ̃ u ɛ̃ ljø]
Nadie pronuncia la terminación ent de los verbos conjugados;Personne ne prononce la terminaison « ent » des verbes conjugués;[pɛʁsɔn nə pʁɔnɔ̃s la tɛʁminɛzɔ̃ ɑ̃ de vɛʁb kɔ̃ʒyɡe]
¿Qué enlace debes evitar después de la conjunción et?;Quelle liaison est-ce qu'il faut éviter après la conjonction « et » ?;[kɛl ljɛzɔ̃ ɛs kil fo evite apʁɛ la kɔ̃ʒɔ̃ksjɔ̃ e]
¿Oyes cómo cambia la vocal entre peu y peur?;Tu entends comment la voyelle change entre « peu » et « peur » ?;[ty ɑ̃tɑ̃ kɔmɑ̃ la vwajɛl ʃɑ̃ʒ ɑ̃tʁ pø e pœʁ]
