Me levanto temprano;Je me lève tôt;/ʒə mə lɛv to/
Ella se lava las manos;Elle se lave les mains;/ɛl sə lav le mɛ̃/
Nosotros nos preparamos;Nous nous préparons;/nu nu pʁepaʁɔ̃/
Tú te vistes rápido;Tu t'habilles vite;/ty t‿abij vit/
Ellos se sientan aquí;Ils s'assoient ici;/il s‿aswa isi/
Me llamo Ana;Je m'appelle Ana;/ʒə m‿apɛl ana/
Él se acuerda de ti;Il se souvient de toi;/il sə suvjɛ̃ də twa/
Nosotros nos divertimos;Nous nous amusons;/nu nu zamyzɔ̃/
Ella se maquilla;Elle se maquille;/ɛl sə makij/
Ellos se pasean por el parque;Ils se promènent dans le parc;/il sə pʁɔmɛn dɑ̃ lə paʁk/
No me levanto tarde;Je ne me lève pas tard;/ʒə nə mə lɛv pa taʁ/
Ella no se lava;Elle ne se lave pas;/ɛl nə sə lav pa/
No nos preparamos;Nous ne nous préparons pas;/nu nə nu pʁepaʁɔ̃ pa/
Tú no te vistes;Tu ne t'habilles pas;/ty nə t‿abij pa/
Ellos no se sientan;Ils ne s'assoient pas;/il nə s‿aswa pa/
No me llamo Juan;Je ne m'appelle pas Juan;/ʒə nə m‿apɛl pa ʒwan/
Él no se acuerda;Il ne se souvient pas;/il nə sə suvjɛ̃ pa/
No nos divertimos;Nous ne nous amusons pas;/nu nə nu zamyzɔ̃ pa/
Ella no se maquilla;Elle ne se maquille pas;/ɛl nə sə makij pa/
Ellos no se pasean;Ils ne se promènent pas;/il nə sə pʁɔmɛn pa/
¿Te levantas temprano?;Te lèves-tu tôt ?;/tə lɛv ty to/
¿Se lava ella las manos?;Se lave-t-elle les mains ?;/sə lav t ɛl le mɛ̃/
¿Nos preparamos?;Nous nous préparons ?;/nu nu pʁepaʁɔ̃/
¿Te vistes rápido?;T'habilles-tu vite ?;/t‿abij ty vit/
¿Se sientan aquí?;S'assoient-ils ici ?;/s‿aswa til isi/
¿Te llamas Ana?;T'appelles-tu Ana ?;/t‿apɛl ty ana/
¿Se acuerda de ti?;Se souvient-il de toi ?;/sə suvjɛ̃ til də twa/
¿Nos divertimos?;Nous nous amusons ?;/nu nu zamyzɔ̃/
¿Se maquilla ella?;Se maquille-t-elle ?;/sə makij t ɛl/
¿Se pasean ellos?;Se promènent-ils ?;/sə pʁɔmɛn til/
