Compro un pan fresco.;J'achète un pain frais.;[ʒaʃɛt œ̃ pɛ̃ fʁɛ]
Él no bebe café.;Il ne boit pas de café.;[il nə bwa pa də kafe]
¿Quieres un poco de agua?;Tu veux un peu d'eau ?;[ty vø œ̃ pø do]
Ella come un poco de sopa.;Elle mange de la soupe.;[ɛl mɑ̃ʒ də la sup]
No hay leche en casa.;Il n'y a pas de lait à la maison.;[il ni a pa də lɛ a la mɛzɔ̃]
¿Tienes algunos huevos frescos?;Est-ce que tu as des œufs frais ?;[ɛs kə ty a dez ø fʁɛ]
Compramos queso francés para cenar.;Nous achetons du fromage français pour dîner.;[nu zaʃtɔ̃ dy fʁɔmaʒ fʁɑ̃sɛ puʁ dine]
No tomo azúcar con el café.;Je ne prends pas de sucre avec le café.;[ʒə nə pʁɑ̃ pa də sykʁ avɛk lə kafe]
¿Queréis una naranja o una manzana?;Vous voulez une orange ou une pomme ?;[vu vule yn ɔʁɑ̃ʒ u yn pɔm]
El pan está encima de la mesa.;Le pain est sur la table.;[lə pɛ̃ ɛ syʁ la tabl]
Preparamos ensalada con tomates para la cena.;Nous préparons de la salade avec des tomates pour le dîner.;[nu pʁepaʁɔ̃ də la salad avɛk de tɔmat puʁ lə dine]
Ella no compra verduras en el mercado cubierto.;Elle n'achète pas de légumes au marché couvert.;[ɛl naʃɛt pa də leɡym o maʁʃe kuvɛʁ]
¿Cuánto arroz hace falta para cuatro personas?;Il faut combien de riz pour quatre personnes ?;[il fo kɔ̃bjɛ̃ də ʁi puʁ katʁ pɛʁsɔn]
He comprado unos tomates hermosos para la cena.;J'ai acheté de belles tomates pour le dîner.;[ʒe aʃte də bɛl tɔmat puʁ lə dine]
No hacemos deporte al aire libre en invierno.;Nous ne faisons pas de sport en plein air en hiver.;[nu nə fəzɔ̃ pa də spɔʁ ɑ̃ plɛn ɛʁ ɑ̃n ivɛʁ]
¿Tocas el piano desde tu infancia?;Est-ce que tu joues du piano depuis ton enfance ?;[ɛs kə ty ʒu dy pjano dəpɥi tɔ̃n ɑ̃fɑ̃s]
Bebe mucha agua después de cada entrenamiento.;Il boit beaucoup d'eau après chaque entraînement.;[il bwa boku do apʁɛ ʃak ɑ̃tʁɛnmɑ̃]
Ya no tienen dinero para pagar el alquiler.;Ils n'ont plus d'argent pour payer le loyer.;[il nɔ̃ ply daʁʒɑ̃ puʁ peje lə lwaje]
¿Tomáis té o café durante la pausa?;Est-ce que vous prenez du thé ou du café pendant la pause ?;[ɛs kə vu pʁəne dy te u dy kafe pɑ̃dɑ̃ la poz]
Ella practica natación dos veces por semana.;Elle fait de la natation deux fois par semaine.;[ɛl fɛ də la natasjɔ̃ dø fwa paʁ səmɛn]
Este restaurante no sirve ni carne ni pescado los lunes.;Ce restaurant ne sert ni viande ni poisson le lundi.;[sə ʁɛstoʁɑ̃ nə sɛʁ ni vjɑ̃d ni pwasɔ̃ lə lœ̃di]
Después de cenar, compramos una botella de aceite de oliva.;Après le dîner, nous avons acheté une bouteille d'huile d'olive.;[apʁɛ lə dine nu zavɔ̃ aʃte yn butɛj dɥil dɔliv]
¿Por qué hay tan poco pan para el desayuno?;Pourquoi il y a si peu de pain pour le petit déjeuner ?;[puʁkwa il i a si pø də pɛ̃ puʁ lə pəti deʒøne]
Los niños juegan al fútbol mientras sus padres juegan al tenis.;Les enfants jouent au football tandis que leurs parents jouent au tennis.;[lez ɑ̃fɑ̃ ʒu o futbol tɑ̃di kə lœʁ paʁɑ̃ ʒu o tɛnis]
A ella no le duele la cabeza, sino la espalda.;Elle n'a pas mal à la tête, mais elle a mal au dos.;[ɛl na pa mal a la tɛt mɛ ɛl a mal o do]
¿Tienes suficiente harina para hacer este pastel de chocolate?;Est-ce que tu as assez de farine pour faire ce gâteau au chocolat ?;[ɛs kə ty a ase də faʁin puʁ fɛʁ sə ɡato o ʃɔkɔla]
No compramos ninguna fruta ni ninguna bebida para el pícnic.;Nous n'avons acheté aucun fruit ni aucune boisson pour le pique-nique.;[nu navɔ̃ aʃte okœ̃ fʁɥi ni okyn bwasɔ̃ puʁ lə piknik]
No son documentos oficiales publicados por el ministerio.;Ce ne sont pas des documents officiels publiés par le ministère.;[sə nə sɔ̃ pa de dɔkymɑ̃ ɔfisjɛl pyblije paʁ lə ministɛʁ]
¿Cuántas botellas de agua debemos prever para la reunión?;On doit prévoir combien de bouteilles d'eau pour la réunion ?;[ɔ̃ dwa pʁevwaʁ kɔ̃bjɛ̃ də butɛj do puʁ la ʁeynjɔ̃]
¿La mayoría de los clientes toma el menú del día?;Est-ce que la plupart des clients prennent le menu du jour ?;[ɛs kə la plypaʁ de klijɑ̃ pʁɛn lə məny dy ʒuʁ]
