El mío es mejor;Le mien est meilleur;/lə mjɛ̃ ɛ mɛjœʁ/
La mía es nueva;La mienne est nouvelle;/la mjɛn ɛ nuvɛl/
Los míos están aquí;Les miens sont ici;/le mjɛ̃ sɔ̃t isi/
Las mías son grandes;Les miennes sont grandes;/le mjɛn sɔ̃ ɡʁɑ̃d/
El tuyo es rojo;Le tien est rouge;/lə tjɛ̃ ɛ ʁuʒ/
La tuya es bonita;La tienne est belle;/la tjɛn ɛ bɛl/
Los tuyos están listos;Les tiens sont prêts;/le tjɛ̃ sɔ̃ pʁɛ/
El suyo es caro;Le sien est cher;/lə sjɛ̃ ɛ ʃɛʁ/
La suya es interesante;La sienne est intéressante;/la sjɛn ɛt ɛ̃teʁesɑ̃t/
Los suyos están aquí;Les siens sont ici;/le sjɛ̃ sɔ̃t isi/
El mío no es caro;Le mien n'est pas cher;/lə mjɛ̃ nɛ pa ʃɛʁ/
La mía no es nueva;La mienne n'est pas nouvelle;/la mjɛn nɛ pa nuvɛl/
Los míos no están aquí;Les miens ne sont pas ici;/le mjɛ̃ nə sɔ̃ pa isi/
Las mías no son grandes;Les miennes ne sont pas grandes;/le mjɛn nə sɔ̃ pa ɡʁɑ̃d/
El tuyo no es rojo;Le tien n'est pas rouge;/lə tjɛ̃ nɛ pa ʁuʒ/
La tuya no es bonita;La tienne n'est pas belle;/la tjɛn nɛ pa bɛl/
Los tuyos no están listos;Les tiens ne sont pas prêts;/le tjɛ̃ nə sɔ̃ pa pʁɛ/
El suyo no es caro;Le sien n'est pas cher;/lə sjɛ̃ nɛ pa ʃɛʁ/
La suya no es interesante;La sienne n'est pas intéressante;/la sjɛn nɛ pa ɛ̃teʁesɑ̃t/
Los suyos no están aquí;Les siens ne sont pas ici;/le sjɛ̃ nə sɔ̃ pa isi/
¿Es el mío mejor?;Le mien est-il meilleur ?;/lə mjɛ̃ ɛt il mɛjœʁ/
¿Es la mía nueva?;La mienne est-elle nouvelle ?;/la mjɛn ɛt ɛl nuvɛl/
¿Están los míos aquí?;Les miens sont-ils ici ?;/le mjɛ̃ sɔ̃t il isi/
¿Son las mías grandes?;Les miennes sont-elles grandes ?;/le mjɛn sɔ̃t ɛl ɡʁɑ̃d/
¿Es el tuyo rojo?;Le tien est-il rouge ?;/lə tjɛ̃ ɛt il ʁuʒ/
¿Es la tuya bonita?;La tienne est-elle belle ?;/la tjɛn ɛt ɛl bɛl/
¿Están los tuyos listos?;Les tiens sont-ils prêts ?;/le tjɛ̃ sɔ̃t il pʁɛ/
¿Es el suyo caro?;Le sien est-il cher ?;/lə sjɛ̃ ɛt il ʃɛʁ/
¿Es la suya interesante?;La sienne est-elle intéressante ?;/la sjɛn ɛt ɛl ɛ̃teʁesɑ̃t/
¿Están los suyos aquí?;Les siens sont-ils ici ?;/le sjɛ̃ sɔ̃t il isi/
