¡Qué día tan bonito!;Quelle belle journée !;[kɛl bɛl ʒuʁne]
No sé dónde está él.;Je ne sais pas où il est.;[ʒə nə sɛ pa u il ɛ]
¿Cómo te llamas exactamente?;Tu t'appelles comment exactement ?;[ty tapɛl kɔmɑ̃ ɛɡzaktəmɑ̃]
¡Qué apartamento tan grande!;Quel grand appartement !;[kɛl ɡʁɑ̃t apaʁtəmɑ̃]
No entiendo por qué viene.;Je ne comprends pas pourquoi il vient.;[ʒə nə kɔ̃pʁɑ̃ pa puʁkwa il vjɛ̃]
¿Qué haces esta tarde?;Qu'est-ce que tu fais cet après-midi ?;[kɛs kə ty fɛ sɛt apʁɛmidi]
¡Qué rico está este pastel!;Comme ce gâteau est bon !;[kɔm sə ɡato ɛ bɔ̃]
No sé cuál elegir.;Je ne sais pas lequel choisir.;[ʒə nə sɛ pa ləkɛl ʃwaziʁ]
¿Dónde vives exactamente ahora?;Tu habites où exactement maintenant ?;[ty abit u ɛɡzaktəmɑ̃ mɛ̃tənɑ̃]
¡Cuánta gente hay aquí hoy!;Que de monde ici aujourd'hui !;[kə də mɔ̃d isi oʒuʁdɥi]
¡Qué suerte tienes con este nuevo trabajo!;Quelle chance tu as avec ce nouveau travail !;[kɛl ʃɑ̃s ty a avɛk sə nuvo tʁavaj]
No sabemos cuándo llega el próximo tren.;Nous ne savons pas quand le prochain train arrive.;[nu nə savɔ̃ pa kɑ̃ lə pʁɔʃɛ̃ tʁɛ̃ aʁiv]
¿Qué película quieres ver esta noche en el cine?;Quel film tu veux voir ce soir au cinéma ?;[kɛl film ty vø vwaʁ sə swaʁ o sinema]
¡Qué hermosa es esta música tradicional bretona!;Comme cette musique traditionnelle bretonne est belle !;[kɔm sɛt myzik tʁadisjɔnɛl bʁətɔn ɛ bɛl]
Ella no entiende cómo utilizar esta nueva aplicación.;Elle ne comprend pas comment utiliser cette nouvelle application.;[ɛl nə kɔ̃pʁɑ̃ pa kɔmɑ̃ ytilize sɛt nuvɛl aplikasjɔ̃]
¿Cuál de estos abrigos prefieres para el invierno?;Lequel de ces manteaux tu préfères pour l'hiver ?;[ləkɛl də se mɑ̃to ty pʁefɛʁ puʁ livɛʁ]
¡Qué valor mostraste durante aquella difícil competición!;Quel courage tu as montré pendant cette compétition difficile !;[kɛl kuʁaʒ ty a mɔ̃tʁe pɑ̃dɑ̃ sɛt kɔ̃petisjɔ̃ difisil]
Ya no sé a quién invitar a la ceremonia.;Je ne sais plus qui inviter à la cérémonie.;[ʒə nə sɛ ply ki ɛ̃vite a la seʁemɔni]
¿Con quién sales de viaje el próximo viernes?;Avec qui tu pars en voyage vendredi prochain ?;[avɛk ki ty paʁ ɑ̃ vwajaʒ vɑ̃dʁədi pʁɔʃɛ̃]
¡Cuántos progresos has hecho desde el mes pasado!;Que de progrès tu as faits depuis le mois dernier !;[kə də pʁɔɡʁɛ ty a fɛ dəpɥi lə mwa dɛʁnje]
No comprendo lo que quieren cambiar exactamente en nuestro proyecto.;Je ne comprends pas ce qu'ils veulent changer exactement dans notre projet.;[ʒə nə kɔ̃pʁɑ̃ pa sə kil vœl ʃɑ̃ʒe ɛɡzaktəmɑ̃ dɑ̃ nɔtʁ pʁɔʒɛ]
¡Qué excelente idea has propuesto para reducir nuestros residuos!;Quelle excellente idée tu as proposée pour réduire nos déchets !;[kɛl ɛksɛlɑ̃t ide ty a pʁɔpoze puʁ ʁedɥiʁ no deʃɛ]
¿Por qué rechazaron vuestra solicitud sin explicar los motivos?;Pourquoi est-ce qu'ils ont refusé votre demande sans expliquer les raisons ?;[puʁkwa ɛs kilz ɔ̃ ʁəfyze vɔtʁ dəmɑ̃d sɑ̃z ɛksplike le ʁɛzɔ̃]
¡Qué animadas están las calles durante esta fiesta tradicional!;Comme les rues sont animées pendant cette fête traditionnelle !;[kɔm le ʁy sɔ̃t anime pɑ̃dɑ̃ sɛt fɛt tʁadisjɔnɛl]
No sabemos cuál de estas medidas será realmente más eficaz.;Nous ne savons pas laquelle de ces mesures sera vraiment plus efficace.;[nu nə savɔ̃ pa lakɛl də se məzyʁ səʁa vʁɛmɑ̃ plyz efikas]
¿Para qué sirve este pequeño botón situado junto a la pantalla?;À quoi sert ce petit bouton situé près de l'écran ?;[a kwa sɛʁ sə pəti butɔ̃ sitɥe pʁɛ də lekʁɑ̃]
Nadie sabe cuántos participantes asistirán finalmente al congreso internacional.;Personne ne sait combien de participants assisteront finalement au congrès international.;[pɛʁsɔn nə sɛ kɔ̃bjɛ̃ də paʁtisipɑ̃ asisteʁɔ̃ finalmɑ̃ o kɔ̃ɡʁɛ ɛ̃tɛʁnasjɔnal]
No veo en qué mejora su propuesta nuestras condiciones laborales.;Je ne vois pas en quoi leur proposition améliore nos conditions de travail.;[ʒə nə vwa pa ɑ̃ kwa lœʁ pʁɔpozisjɔ̃ ameljɔʁ no kɔ̃disjɔ̃ də tʁavaj]
¿Sabes dónde podemos encontrar información fiable sobre esta formación?;Est-ce que tu sais où nous pouvons trouver des informations fiables sur cette formation ?;[ɛs kə ty sɛ u nu puvɔ̃ tʁuve dez ɛ̃fɔʁmasjɔ̃ fjabl syʁ sɛt fɔʁmasjɔ̃]
¿Qué medio de transporte os parece más práctico para este trayecto?;Quel moyen de transport vous semble le plus pratique pour ce trajet ?;[kɛl mwajɛ̃ də tʁɑ̃spɔʁ vu sɑ̃bl lə ply pʁatik puʁ sə tʁaʒɛ]
