Es un museo moderno.;C'est un musée moderne.;[sɛ œ̃ myze mɔdɛʁn]
Este bolso no es mío.;Ce sac n'est pas à moi.;[sə sak nɛ pa a mwa]
¿Te interesa eso?;Est-ce que ça t'intéresse ?;[ɛs kə sa tɛ̃teʁɛs]
Esta película es interesante.;Ce film est intéressant.;[sə film ɛ ɛ̃teʁesɑ̃]
Eso no me interesa mucho.;Ça ne m'intéresse pas beaucoup.;[sa nə mɛ̃teʁɛs pa boku]
¿Prefieres este o aquel?;Tu préfères celui-ci ou celui-là ?;[ty pʁefɛʁ səlɥisi u səlɥila]
Este es para ti.;Celui-ci est pour toi.;[səlɥisi ɛ puʁ twa]
Aquel no está abierto.;Celui-là n'est pas ouvert.;[səlɥila nɛ pa uvɛʁ]
¿Es una buena idea?;Est-ce que c'est une bonne idée ?;[ɛs kə sɛ tyn bɔn ide]
La de la izquierda es bonita.;Celle de gauche est jolie.;[sɛl də ɡoʃ ɛ ʒɔli]
Estos no son mis vecinos.;Ceux-ci ne sont pas mes voisins.;[søsi nə sɔ̃ pa me vwazɛ̃]
¿Son esos tus amigos?;Est-ce que ceux-là sont tes amis ?;[ɛs kə søla sɔ̃ te zami]
Estos libros son útiles para el curso.;Ces livres sont utiles pour le cours.;[se livʁ sɔ̃ ytil puʁ lə kuʁ]
Este restaurante no es tan caro.;Ce restaurant n'est pas si cher.;[sə ʁɛstoʁɑ̃ nɛ pa si ʃɛʁ]
¿Es interesante trabajar aquí?;Est-ce intéressant de travailler ici ?;[ɛ tɛ̃teʁesɑ̃ də tʁavaje isi]
El de París es más famoso.;Celui de Paris est plus célèbre.;[səlɥi də paʁi ɛ ply sɛlɛbʁ]
Este no es el mismo problema.;Ce n'est pas le même problème.;[sə nɛ pa lə mɛm pʁɔblɛm]
¿Cuál es el de la derecha?;Quel est celui de droite ?;[kɛl ɛ səlɥi də dʁwat]
Esta aplicación es muy práctica.;Cette application est très pratique.;[sɛt aplikasjɔ̃ ɛ tʁɛ pʁatik]
Esas películas no son interesantes.;Ces films ne sont pas intéressants.;[se film nə sɔ̃ pa ɛ̃teʁesɑ̃]
¿Son estas las mismas llaves?;Est-ce que ce sont les mêmes clés ?;[ɛs kə sə sɔ̃ le mɛm kle]
Los de la clase son nuevos.;Ceux de la classe sont nouveaux.;[sø də la klas sɔ̃ nuvo]
La de la derecha no está libre.;Celle de droite n'est pas libre.;[sɛl də dʁwat nɛ pa libʁ]
¿Es este el libro que buscas?;Est-ce que c'est le livre que tu cherches ?;[ɛs kə sɛ lə livʁ kə ty ʃɛʁʃ]
Este ordenador es más rápido que aquel.;Cet ordinateur est plus rapide que celui-là.;[sɛt ɔʁdinatœʁ ɛ ply ʁapid kə səlɥila]
Este no es el abrigo de mi hermano.;Ce n'est pas le manteau de mon frère.;[sə nɛ pa lə mɑ̃to də mɔ̃ fʁɛʁ]
¿Por qué es importante aprender francés?;Pourquoi est-ce important d'apprendre le français ?;[puʁkwa ɛ tɛ̃pɔʁtɑ̃ dapʁɑ̃dʁ lə fʁɑ̃sɛ]
Los de nuestro equipo son excelentes.;Ceux de notre équipe sont excellents.;[sø də nɔtʁ ekip sɔ̃ ɛksɛlɑ̃]
Esta no es la solución que necesitamos.;Ce n'est pas la solution dont nous avons besoin.;[sə nɛ pa la sɔlysjɔ̃ dɔ̃ nu avɔ̃ bəzwɛ̃]
¿Es la de la izquierda más cómoda que aquella?;Est-ce que celle de gauche est plus confortable que celle-là ?;[ɛs kə sɛl də ɡoʃ ɛ ply kɔ̃fɔʁtabl kə sɛlla]
